Data download from AQ England website,,,,,,,,,,,,,
Status: P - Provisional data, P* - Ratified by Data Provider, R - Ratified Data,V - Validated,A - As supplied,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Hourly Data,Hourly Data,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre,Hammersmith Town Centre
End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
05/03/2019,10:00:00,8.3,R ugm-3 (Ref.eq),58.47224,R ugm-3,71.69028,R ugm-3,161.34647,R ugm-3,26.11872,R ugm-3,,
05/03/2019,11:00:00,11.7,R ugm-3 (Ref.eq),27.09705,R ugm-3,36.13249,R ugm-3,77.68071,R ugm-3,36.54626,R ugm-3,,
05/03/2019,12:00:00,7.5,R ugm-3 (Ref.eq),26.83883,R ugm-3,43.03181,R ugm-3,84.1841,R ugm-3,42.24897,R ugm-3,,
05/03/2019,13:00:00,5.8,R ugm-3 (Ref.eq),36.65115,R ugm-3,41.29081,R ugm-3,97.48846,R ugm-3,45.27246,R ugm-3,,
05/03/2019,14:00:00,12.5,R ugm-3 (Ref.eq),65.3007,R ugm-3,31.02616,R ugm-3,131.1525,R ugm-3,41.78497,R ugm-3,4,R ugm-3 (BAM)
05/03/2019,15:00:00,18.3,R ugm-3 (Ref.eq),39.67008,R ugm-3,42.47411,R ugm-3,103.30071,R ugm-3,44.42927,R ugm-3,7,R ugm-3 (BAM)
05/03/2019,16:00:00,15.8,R ugm-3 (Ref.eq),26.10562,R ugm-3,42.53381,R ugm-3,82.56186,R ugm-3,42.11925,R ugm-3,8,R ugm-3 (BAM)
05/03/2019,17:00:00,18.3,R ugm-3 (Ref.eq),59.42223,R ugm-3,87.36804,R ugm-3,178.48086,R ugm-3,29.95047,R ugm-3,8,R ugm-3 (BAM)
05/03/2019,18:00:00,23.3,R ugm-3 (Ref.eq),76.42005,R ugm-3,70.92338,R ugm-3,188.09916,R ugm-3,20.24139,R ugm-3,9,R ugm-3 (BAM)
05/03/2019,19:00:00,20.8,R ugm-3 (Ref.eq),79.39116,R ugm-3,76.23081,R ugm-3,197.96223,R ugm-3,23.55425,R ugm-3,8,R ugm-3 (BAM)
05/03/2019,20:00:00,19.2,R ugm-3 (Ref.eq),68.05822,R ugm-3,80.69696,R ugm-3,185.05144,R ugm-3,19.05894,R ugm-3,11,R ugm-3 (BAM)
05/03/2019,21:00:00,21.7,R ugm-3 (Ref.eq),31.58878,R ugm-3,57.17864,R ugm-3,105.6141,R ugm-3,26.37318,R ugm-3,12,R ugm-3 (BAM)
05/03/2019,22:00:00,20.8,R ugm-3 (Ref.eq),57.65933,R ugm-3,68.25717,R ugm-3,156.66691,R ugm-3,23.41455,R ugm-3,15,R ugm-3 (BAM)
05/03/2019,23:00:00,18.3,R ugm-3 (Ref.eq),20.35467,R ugm-3,42.98139,R ugm-3,74.19144,R ugm-3,34.42084,R ugm-3,14,R ugm-3 (BAM)
