End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units,
01/01/2023,01:00:00,14.2,R ugm-3 (Ref.eq),2.76395,R ugm-3,6.13576,R ugm-3,10.37376,R ugm-3,75.08183,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,02:00:00,12.5,R ugm-3 (Ref.eq),2.99566,R ugm-3,7.11976,R ugm-3,11.71304,R ugm-3,,,7.0,R ugm-3 (BAM),
01/01/2023,03:00:00,14.2,R ugm-3 (Ref.eq),2.59177,R ugm-3,7.22349,R ugm-3,11.19748,R ugm-3,74.64906,R ugm-3,6.0,R ugm-3 (BAM),
01/01/2023,04:00:00,16.7,R ugm-3 (Ref.eq),3.53521,R ugm-3,5.82500,R ugm-3,11.24558,R ugm-3,77.11490,R ugm-3,13.0,R ugm-3 (BAM),
01/01/2023,05:00:00,17.5,R ugm-3 (Ref.eq),1.55490,R ugm-3,6.46746,R ugm-3,8.85160,R ugm-3,76.83475,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,06:00:00,18.3,R ugm-3 (Ref.eq),2.02794,R ugm-3,6.67819,R ugm-3,9.78764,R ugm-3,76.37484,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,07:00:00,19.2,R ugm-3 (Ref.eq),1.75738,R ugm-3,6.90125,R ugm-3,9.59586,R ugm-3,76.75926,R ugm-3,8.0,R ugm-3 (BAM),
01/01/2023,08:00:00,21.7,R ugm-3 (Ref.eq),2.85136,R ugm-3,7.09836,R ugm-3,11.47038,R ugm-3,71.95072,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,09:00:00,20.8,R ugm-3 (Ref.eq),3.74927,R ugm-3,11.39677,R ugm-3,17.14558,R ugm-3,72.61579,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,10:00:00,21.7,R ugm-3 (Ref.eq),3.90520,R ugm-3,10.43074,R ugm-3,16.41863,R ugm-3,72.43069,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,11:00:00,20.8,R ugm-3 (Ref.eq),3.98174,R ugm-3,9.70258,R ugm-3,15.80783,R ugm-3,71.51950,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,12:00:00,22.5,R ugm-3 (Ref.eq),4.01724,R ugm-3,11.59168,R ugm-3,17.75137,R ugm-3,69.11359,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,13:00:00,25.8,R ugm-3 (Ref.eq),4.44203,R ugm-3,10.49096,R ugm-3,17.30198,R ugm-3,66.99735,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,14:00:00,23.3,R ugm-3 (Ref.eq),7.87157,R ugm-3,22.32106,R ugm-3,34.39063,R ugm-3,64.15771,R ugm-3,8.0,R ugm-3 (BAM),
01/01/2023,15:00:00,23.3,R ugm-3 (Ref.eq),6.12617,R ugm-3,15.09996,R ugm-3,24.49330,R ugm-3,62.67606,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,16:00:00,25.0,R ugm-3 (Ref.eq),10.23561,R ugm-3,21.01458,R ugm-3,36.70896,R ugm-3,56.16903,R ugm-3,10.0,R ugm-3 (BAM),
01/01/2023,17:00:00,17.5,R ugm-3 (Ref.eq),18.74610,R ugm-3,28.30777,R ugm-3,57.05139,R ugm-3,46.52386,R ugm-3,12.0,R ugm-3 (BAM),
01/01/2023,18:00:00,13.3,R ugm-3 (Ref.eq),7.12499,R ugm-3,29.98500,R ugm-3,40.90984,R ugm-3,43.16340,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,19:00:00,11.7,R ugm-3 (Ref.eq),15.43021,R ugm-3,38.25648,R ugm-3,61.91581,R ugm-3,54.28274,R ugm-3,8.0,R ugm-3 (BAM),
01/01/2023,20:00:00,11.7,R ugm-3 (Ref.eq),4.58949,R ugm-3,41.13403,R ugm-3,48.17115,R ugm-3,37.03136,R ugm-3,6.0,R ugm-3 (BAM),
01/01/2023,21:00:00,12.5,R ugm-3 (Ref.eq),3.82497,R ugm-3,35.29793,R ugm-3,41.16279,R ugm-3,38.91595,R ugm-3,11.0,R ugm-3 (BAM),
01/01/2023,22:00:00,11.7,R ugm-3 (Ref.eq),6.75184,R ugm-3,48.98482,R ugm-3,59.33749,R ugm-3,45.33816,R ugm-3,9.0,R ugm-3 (BAM),
01/01/2023,23:00:00,12.5,R ugm-3 (Ref.eq),11.51855,R ugm-3,39.98689,R ugm-3,57.64843,R ugm-3,30.99337,R ugm-3,12.0,R ugm-3 (BAM),
01/01/2023,24:00:00,12.5,R ugm-3 (Ref.eq),11.97667,R ugm-3,30.96059,R ugm-3,49.32456,R ugm-3,37.97293,R ugm-3,10.0,R ugm-3 (BAM),
02/01/2023,01:00:00,3.3,R ugm-3 (Ref.eq),6.26110,R ugm-3,42.31688,R ugm-3,51.91711,R ugm-3,38.36826,R ugm-3,10.0,R ugm-3 (BAM),
02/01/2023,02:00:00,4.2,R ugm-3 (Ref.eq),4.05179,R ugm-3,14.85228,R ugm-3,21.06494,R ugm-3,,,6.0,R ugm-3 (BAM),
02/01/2023,03:00:00,9.2,R ugm-3 (Ref.eq),2.04951,R ugm-3,9.85989,R ugm-3,13.00243,R ugm-3,57.20834,R ugm-3,3.0,R ugm-3 (BAM),
02/01/2023,04:00:00,4.2,R ugm-3 (Ref.eq),2.17669,R ugm-3,10.78952,R ugm-3,14.12707,R ugm-3,61.85972,R ugm-3,5.0,R ugm-3 (BAM),
02/01/2023,05:00:00,9.2,R ugm-3 (Ref.eq),6.34711,R ugm-3,21.16992,R ugm-3,30.90202,R ugm-3,59.26226,R ugm-3,3.0,R ugm-3 (BAM),
02/01/2023,06:00:00,7.5,R ugm-3 (Ref.eq),3.62306,R ugm-3,16.27924,R ugm-3,21.83452,R ugm-3,48.19356,R ugm-3,2.0,R ugm-3 (BAM),
