End Date,End Time,PM10,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units,
21/01/2023,01:00:00,16.7,R ugm-3 (Ref.eq),52.71684,R ugm-3,56.86151,R ugm-3,137.69286,R ugm-3,9.91391,R ugm-3,15.0,R ugm-3 (BAM),
21/01/2023,02:00:00,10.8,R ugm-3 (Ref.eq),15.22804,R ugm-3,37.30372,R ugm-3,60.65306,R ugm-3,,,11.0,R ugm-3 (BAM),
21/01/2023,03:00:00,9.2,R ugm-3 (Ref.eq),7.45250,R ugm-3,28.49807,R ugm-3,39.92507,R ugm-3,22.80995,R ugm-3,9.0,R ugm-3 (BAM),
21/01/2023,04:00:00,12.5,R ugm-3 (Ref.eq),4.88848,R ugm-3,29.86670,R ugm-3,37.36227,R ugm-3,24.18564,R ugm-3,11.0,R ugm-3 (BAM),
21/01/2023,05:00:00,8.3,R ugm-3 (Ref.eq),11.38565,R ugm-3,37.59459,R ugm-3,55.05234,R ugm-3,19.04028,R ugm-3,11.0,R ugm-3 (BAM),
21/01/2023,06:00:00,9.2,R ugm-3 (Ref.eq),13.48728,R ugm-3,40.05147,R ugm-3,60.73168,R ugm-3,14.99310,R ugm-3,13.0,R ugm-3 (BAM),
21/01/2023,07:00:00,11.7,R ugm-3 (Ref.eq),27.84589,R ugm-3,43.28320,R ugm-3,85.97963,R ugm-3,12.60459,R ugm-3,12.0,R ugm-3 (BAM),
21/01/2023,08:00:00,15.8,R ugm-3 (Ref.eq),80.54230,R ugm-3,70.63700,R ugm-3,194.13348,R ugm-3,5.95337,R ugm-3,16.0,R ugm-3 (BAM),
21/01/2023,09:00:00,19.2,R ugm-3 (Ref.eq),96.94010,R ugm-3,73.37235,R ugm-3,222.01176,R ugm-3,2.29795,R ugm-3,14.0,R ugm-3 (BAM),
21/01/2023,10:00:00,25.0,R ugm-3 (Ref.eq),178.26626,R ugm-3,96.93578,R ugm-3,370.27356,R ugm-3,2.63767,R ugm-3,27.0,R ugm-3 (BAM),
21/01/2023,11:00:00,24.2,R ugm-3 (Ref.eq),157.12398,R ugm-3,75.80625,R ugm-3,316.72633,R ugm-3,2.95957,R ugm-3,25.0,R ugm-3 (BAM),
21/01/2023,12:00:00,30.0,R ugm-3 (Ref.eq),113.08063,R ugm-3,94.27304,R ugm-3,267.66092,R ugm-3,3.80695,R ugm-3,18.0,R ugm-3 (BAM),
21/01/2023,13:00:00,32.5,R ugm-3 (Ref.eq),119.83981,R ugm-3,92.05906,R ugm-3,275.81087,R ugm-3,9.43652,R ugm-3,18.0,R ugm-3 (BAM),
21/01/2023,14:00:00,44.2,R ugm-3 (Ref.eq),101.23372,R ugm-3,80.01141,R ugm-3,235.23428,R ugm-3,11.23709,R ugm-3,15.0,R ugm-3 (BAM),
21/01/2023,15:00:00,97.5,R ugm-3 (Ref.eq),170.21831,R ugm-3,77.07419,R ugm-3,338.07197,R ugm-3,9.03902,R ugm-3,13.0,R ugm-3 (BAM),
21/01/2023,16:00:00,110.8,R ugm-3 (Ref.eq),191.99684,R ugm-3,93.14147,R ugm-3,387.53253,R ugm-3,5.91401,R ugm-3,15.0,R ugm-3 (BAM),
21/01/2023,17:00:00,106.7,R ugm-3 (Ref.eq),258.42185,R ugm-3,139.29291,R ugm-3,535.53423,R ugm-3,3.90284,R ugm-3,22.0,R ugm-3 (BAM),
