dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1606266000,1,216.96,0.0,8.82,63.66,3.46,5.03,6.36,0.74
1606269600,1,216.96,0.0,7.71,64.37,3.37,5.84,7.35,0.71
1606273200,1,216.96,0.0,7.28,64.37,3.52,6.03,7.92,0.65
1606276800,1,216.96,0.0,7.28,63.66,3.73,6.13,8.45,0.58
1606280400,1,216.96,0.0,7.88,60.08,3.93,6.38,9.09,0.52
1606284000,1,220.3,0.0,9.17,54.36,4.29,6.73,9.86,0.46
1606287600,1,223.64,0.01,13.54,46.49,5.31,6.77,9.81,0.46
1606291200,1,226.97,0.02,17.14,40.77,5.84,5.93,8.12,0.38
1606294800,1,223.64,0.08,16.62,40.05,5.54,5.35,6.96,0.28
1606298400,1,216.96,0.16,13.37,43.63,4.83,4.79,6.07,0.24
1606302000,1,211.95,0.38,11.14,45.78,4.53,5.06,6.37,0.23
1606305600,1,206.95,0.6,10.54,47.92,4.59,5.31,6.83,0.22
1606309200,1,205.28,0.69,12.17,46.49,5.07,5.02,6.42,0.2
1606312800,1,208.62,0.54,16.97,40.05,6.5,5.3,6.5,0.19
1606316400,1,216.96,0.24,22.62,32.19,8.23,5.73,6.7,0.19
1606320000,1,230.31,0.33,30.5,18.24,10.49,6.39,7.14,0.24
1606323600,1,247.0,2.49,35.64,4.34,12.16,6.7,7.35,0.37
1606327200,1,260.35,6.15,38.04,0.79,14.31,6.36,7.01,0.5
1606330800,2,270.37,7.26,44.55,0.62,16.69,6.15,6.97,0.63
1606334400,2,280.38,6.82,50.04,0.77,18.6,6.42,7.44,0.7
1606338000,2,283.72,5.2,53.47,1.38,19.55,7.16,8.31,0.64
1606341600,2,287.06,4.3,54.84,1.88,20.5,7.96,9.22,0.6
1606345200,2,287.06,4.14,54.15,1.81,20.74,8.55,9.89,0.56
1606348800,2,277.04,2.4,50.04,3.0,19.31,8.32,9.77,0.45
1606352400,2,273.71,2.63,46.61,2.41,15.97,7.97,9.63,0.38
1606356000,2,277.04,5.48,45.24,0.5,13.35,8.16,10.01,0.36
1606359600,2,287.06,8.38,44.55,0.12,12.28,8.71,10.76,0.33
1606363200,2,293.73,10.28,45.24,0.06,12.04,9.3,11.55,0.31
1606366800,2,293.73,10.62,45.24,0.08,12.88,9.53,11.98,0.29
1606370400,2,300.41,10.84,46.61,0.16,15.74,10.27,12.94,0.27
1606374000,2,320.44,16.54,50.72,0.09,22.41,12.48,15.47,0.37
1606377600,2,363.83,33.98,54.15,0.0,28.61,16.29,19.58,0.59
1606381200,2,407.22,52.3,55.52,0.16,33.38,19.9,23.47,0.73
1606384800,3,433.92,62.59,58.95,0.93,37.19,22.55,26.33,0.75
1606388400,3,447.27,68.84,61.69,1.79,40.53,24.28,28.18,0.74
1606392000,3,447.27,67.06,61.01,2.48,42.92,24.22,28.12,0.71
1606395600,2,380.52,39.34,60.32,4.2,39.58,18.81,22.15,0.4
1606399200,2,357.15,30.85,62.38,3.71,40.05,16.87,20.05,0.45
1606402800,2,357.15,29.95,65.12,1.81,41.49,16.2,19.34,0.52
1606406400,2,380.52,42.02,66.49,0.22,38.62,17.09,20.35,0.71
1606410000,3,427.25,70.63,64.43,0.0,32.42,20.03,23.49,0.9
1606413600,3,473.98,100.14,61.01,0.0,26.94,23.1,26.78,0.96
1606417200,4,520.71,121.59,56.89,0.0,24.32,26.3,29.84,1.0
1606420800,4,547.41,130.53,54.84,0.0,23.6,29.0,32.08,0.99
1606424400,4,554.09,126.96,53.47,0.0,22.41,30.86,33.49,0.88
1606428000,4,554.09,119.81,52.78,0.0,21.46,31.7,33.95,0.78
1606431600,4,540.73,107.29,52.09,0.0,20.03,31.03,33.13,0.65
1606435200,4,487.33,85.83,50.04,0.0,16.93,27.77,29.86,0.37
1606438800,3,423.91,58.12,49.35,0.0,14.78,23.47,25.61,0.15
1606442400,3,373.84,37.1,48.67,0.0,13.47,20.57,22.68,0.11
1606446000,2,343.8,24.14,48.67,0.0,12.99,18.72,20.71,0.14
1606449600,2,327.11,17.88,46.61,0.0,13.11,17.58,19.4,0.15
1606453200,2,317.1,15.2,45.24,0.01,13.71,17.39,19.12,0.15
1606456800,2,317.1,15.42,43.87,0.01,15.26,18.15,19.92,0.16
1606460400,2,323.77,16.99,45.93,0.06,21.46,19.8,21.67,0.09
1606464000,3,350.48,29.06,47.98,0.01,25.27,22.43,24.4,0.19
1606467600,3,373.84,37.55,50.04,0.03,27.18,23.58,25.54,0.25
1606471200,3,370.5,34.87,52.78,0.25,27.42,22.29,24.19,0.26
1606474800,2,353.81,27.94,54.84,0.88,26.94,19.81,21.71,0.33
1606478400,2,330.45,19.45,54.84,2.03,25.75,16.76,18.63,0.38
1606482000,2,310.42,13.52,55.52,3.84,24.8,14.74,16.57,0.41
1606485600,2,300.41,11.18,54.84,4.07,24.08,14.48,16.34,0.45
1606489200,2,293.73,9.28,54.15,2.95,22.89,14.6,16.55,0.48
1606492800,2,287.06,8.16,53.47,0.96,21.46,14.75,16.77,0.5
1606496400,2,287.06,10.51,52.09,0.29,19.55,15.06,17.1,0.52
1606500000,2,290.39,12.63,52.78,0.16,18.12,15.18,17.11,0.5
1606503600,2,297.07,12.85,53.47,0.16,17.17,14.6,16.31,0.47
1606507200,2,303.75,11.4,53.47,0.25,16.45,13.36,14.92,0.47
1606510800,2,307.08,9.16,52.09,0.41,15.5,12.19,13.69,0.45
1606514400,2,310.42,7.6,48.67,0.57,13.71,11.64,12.98,0.4
1606518000,2,313.76,6.15,45.24,0.62,11.8,12.51,13.68,0.34
1606521600,2,327.11,3.55,44.55,1.08,9.3,16.36,17.57,0.27
1606525200,3,347.14,1.23,44.55,3.26,6.97,22.52,24.02,0.21
1606528800,4,357.15,0.52,39.07,6.62,5.66,26.26,28.15,0.14
1606532400,4,357.15,0.27,31.87,10.19,5.07,26.9,28.83,0.13
1606536000,4,357.15,0.24,27.76,11.36,4.83,27.07,28.82,0.12
1606539600,4,360.49,0.38,26.73,9.57,4.89,27.86,29.41,0.13
1606543200,4,367.17,0.85,27.42,6.62,5.19,28.74,30.16,0.16
1606546800,4,383.85,4.3,30.5,1.88,6.8,30.46,31.87,0.26
1606550400,4,403.88,12.18,31.53,0.13,8.82,32.06,33.52,0.39
1606554000,4,417.23,19.45,30.5,0.54,10.49,32.4,33.91,0.46
1606557600,4,417.23,22.58,26.73,3.31,11.33,31.49,33.11,0.49
1606561200,4,403.88,21.68,23.99,6.17,11.56,28.98,30.73,0.53
1606564800,4,393.87,18.55,22.96,8.94,12.04,26.56,28.45,0.55
1606568400,4,387.19,14.98,23.99,11.98,12.76,25.21,27.25,0.53
1606572000,4,393.87,14.31,27.08,10.55,13.59,25.3,27.47,0.54
1606575600,3,380.52,10.17,31.87,8.32,14.07,23.88,26.0,0.53
1606579200,3,367.17,5.2,38.73,3.13,14.66,23.07,25.14,0.54
1606582800,4,367.17,6.15,41.13,0.92,14.42,25.07,27.25,0.5
1606586400,4,367.17,7.94,43.18,0.5,13.47,27.43,29.57,0.44
1606590000,4,367.17,8.49,45.93,0.5,12.88,29.07,30.99,0.4
1606593600,4,373.84,8.27,48.67,0.67,12.76,29.92,31.68,0.38
1606597200,4,373.84,7.15,50.04,0.95,12.4,30.52,32.16,0.31
1606600800,4,373.84,7.1,50.04,0.89,11.92,31.34,33.06,0.24
1606604400,4,377.18,7.94,50.04,0.51,11.21,32.14,34.0,0.17
1606608000,4,367.17,6.04,49.35,0.58,9.18,31.52,33.49,0.1
1606611600,4,357.15,3.35,45.93,1.41,7.87,30.74,32.75,0.07
1606615200,4,360.49,1.76,41.81,3.0,7.87,31.01,32.95,0.04
1606618800,4,367.17,1.22,39.07,4.11,8.82,32.62,34.52,0.02
1606622400,4,373.84,1.22,38.73,3.84,9.89,34.75,36.81,0.01
1606626000,4,370.5,1.44,37.7,3.22,10.25,35.72,37.97,0.01
1606629600,4,363.83,1.76,36.67,3.0,11.21,35.16,37.51,0.01
1606633200,4,353.81,3.69,36.67,1.79,13.95,33.94,36.17,0.01
1606636800,4,353.81,7.49,37.36,0.51,15.74,35.72,37.77,0.02
1606640400,4,357.15,8.49,38.73,0.6,15.97,38.16,40.13,0.05
1606644000,4,353.81,6.76,39.07,2.24,16.21,37.86,39.85,0.1
1606647600,4,343.8,5.87,37.36,4.16,17.17,33.92,35.96,0.16
1606651200,4,330.45,4.69,35.64,6.97,17.88,27.71,29.68,0.2
1606654800,3,310.42,2.88,35.64,13.05,16.93,22.07,23.78,0.24
1606658400,3,303.75,1.87,39.76,16.27,17.88,20.09,21.71,0.25
1606662000,2,303.75,1.31,45.24,14.48,20.03,19.43,21.05,0.3
1606665600,2,310.42,1.22,51.41,9.92,22.17,19.7,21.33,0.31
1606669200,3,323.77,3.63,57.58,3.22,24.32,20.79,22.48,0.31
1606672800,3,337.12,9.72,58.26,0.32,26.46,22.09,23.88,0.34
1606676400,3,360.49,21.46,57.58,0.01,28.37,24.89,26.91,0.45
1606680000,4,390.53,36.21,54.84,0.0,29.09,28.99,31.33,0.59
1606683600,4,413.9,46.94,50.72,0.0,27.42,32.99,35.68,0.63
1606687200,4,420.57,49.62,47.3,0.0,25.03,36.21,39.16,0.58
1606690800,4,403.88,41.57,46.61,0.0,21.94,37.18,40.01,0.42
1606694400,4,367.17,25.93,46.61,0.0,18.36,35.8,38.05,0.21
1606698000,4,323.77,7.82,45.93,0.56,14.54,31.93,33.3,0.03
1606701600,4,293.73,0.82,39.07,7.96,10.61,27.49,28.4,0.02
1606705200,3,273.71,0.09,28.79,21.64,8.7,23.59,24.24,0.01
1606708800,3,263.69,0.03,23.31,28.97,7.99,21.48,22.0,0.02
1606712400,3,257.02,0.02,22.62,31.11,7.99,20.39,20.86,0.02
1606716000,2,253.68,0.03,23.65,32.54,7.99,19.14,19.59,0.02
1606719600,2,253.68,0.08,27.42,31.11,8.82,18.6,19.08,0.05
1606723200,2,257.02,0.14,31.53,28.97,9.18,17.99,18.5,0.13
1606726800,2,253.68,0.12,31.19,31.11,8.82,16.55,17.04,0.21
1606730400,2,250.34,0.12,28.1,36.48,8.11,14.04,14.52,0.26
1606734000,2,243.66,0.19,25.36,40.41,7.57,11.94,12.39,0.27
1606737600,2,240.33,0.29,23.65,42.92,7.21,10.94,11.39,0.23
1606741200,2,236.99,0.31,21.08,44.35,6.26,10.63,10.97,0.23
1606744800,2,250.34,0.29,21.76,39.7,5.96,12.11,12.42,0.29
1606748400,2,263.69,0.18,21.08,35.76,6.08,10.58,10.89,0.34
1606752000,1,260.35,0.04,18.34,36.48,5.84,7.35,7.66,0.38
1606755600,1,257.02,0.02,17.82,37.91,5.31,4.45,4.78,0.37
1606759200,1,247.0,0.02,17.82,40.05,4.89,3.22,3.6,0.32
1606762800,1,226.97,0.01,15.59,45.78,4.65,2.29,2.63,0.35
1606766400,1,220.3,0.01,12.85,48.64,4.53,1.67,1.94,0.4
1606770000,1,216.96,0.0,11.65,50.07,4.59,1.46,1.7,0.39
1606773600,1,216.96,0.0,13.2,53.64,5.72,1.67,1.98,0.4
1606777200,1,223.64,0.0,14.74,54.36,6.62,1.93,2.42,0.48
1606780800,1,226.97,0.0,13.88,55.79,6.26,1.76,2.47,0.49
1606784400,1,230.31,0.0,13.54,55.79,6.26,1.67,2.58,0.47
1606788000,1,230.31,0.0,13.02,55.79,6.2,1.62,2.65,0.44
1606791600,1,230.31,0.0,12.51,55.79,6.2,1.55,2.64,0.4
1606795200,1,230.31,0.0,12.17,56.51,6.26,1.5,2.63,0.36
1606798800,1,226.97,0.0,12.17,55.79,6.56,1.49,2.67,0.34
1606802400,1,230.31,0.0,13.71,54.36,7.27,1.56,2.81,0.36
1606806000,1,240.33,0.02,20.39,48.64,9.42,2.09,3.42,0.47
1606809600,1,247.0,0.04,27.76,42.2,10.97,2.64,4.04,0.55
1606813200,1,250.34,0.37,29.82,41.13,11.44,2.73,4.14,0.58
1606816800,1,243.66,1.79,26.73,45.42,11.44,2.54,3.96,0.6
1606820400,1,240.33,2.54,23.31,48.64,11.44,2.32,3.8,0.62
1606824000,1,230.31,2.57,21.08,50.07,11.09,2.14,3.73,0.63
1606827600,1,226.97,2.49,20.22,50.78,10.49,2.07,3.75,0.63
1606831200,1,230.31,2.57,22.96,47.92,10.97,2.26,3.99,0.66
1606834800,1,233.65,1.84,27.08,42.92,11.8,2.48,4.26,0.67
1606838400,1,240.33,0.35,34.27,35.05,12.88,2.86,4.7,0.66
1606842000,2,250.34,0.23,42.5,25.39,13.47,3.44,5.33,0.63
1606845600,2,260.35,0.64,49.35,17.35,13.35,4.1,6.03,0.63
1606849200,2,273.71,1.55,55.52,10.46,14.19,5.29,7.31,0.65
1606852800,2,287.06,2.99,58.95,5.63,15.14,6.68,8.8,0.66
1606856400,2,297.07,3.86,58.26,3.8,15.02,7.7,9.9,0.6
1606860000,2,300.41,4.86,57.58,2.59,15.14,8.62,10.91,0.58
1606863600,2,303.75,5.36,57.58,1.88,14.9,9.24,11.61,0.52
1606867200,2,290.39,2.96,54.84,3.31,12.88,8.74,11.18,0.39
1606870800,2,283.72,2.15,51.41,4.25,10.49,8.48,10.96,0.31
1606874400,2,290.39,3.44,50.72,2.28,9.06,8.9,11.41,0.3
1606878000,2,297.07,5.53,50.04,0.89,8.7,9.65,12.19,0.3
1606881600,2,307.08,8.38,47.98,0.24,8.58,10.6,13.15,0.31
1606885200,2,317.1,11.96,45.93,0.04,8.11,11.44,13.92,0.31
1606888800,2,323.77,16.76,42.84,0.01,8.23,12.58,15.04,0.34
1606892400,2,367.17,34.42,41.47,0.0,12.64,16.27,18.98,0.66
1606896000,3,427.25,60.8,43.87,0.0,17.17,21.15,24.37,0.96
1606899600,3,460.63,79.57,46.61,0.04,19.07,24.82,28.58,1.01
1606903200,4,467.3,80.47,48.67,0.14,19.31,26.19,30.29,0.86
1606906800,4,440.6,69.74,49.35,0.21,17.88,25.88,30.05,0.64
1606910400,3,403.88,53.64,50.72,0.2,16.45,24.56,28.46,0.42
1606914000,2,303.75,10.06,50.72,3.76,14.78,15.0,17.52,0.1
1606917600,2,270.37,1.82,40.78,14.66,11.09,10.41,12.38,0.25
1606921200,1,250.34,0.51,34.27,23.96,8.82,7.97,10.09,0.4
1606924800,1,240.33,0.12,30.85,30.04,8.11,6.09,8.31,0.41
1606928400,1,240.33,0.23,34.27,23.96,8.7,5.67,7.58,0.38
1606932000,1,247.0,0.71,38.39,14.48,9.3,5.62,7.08,0.41
1606935600,2,260.35,2.29,41.81,6.62,10.37,6.03,7.21,0.48
1606939200,2,277.04,4.92,41.47,2.35,11.21,6.3,7.35,0.55
1606942800,1,277.04,5.42,39.07,1.95,11.21,5.84,6.81,0.56
1606946400,1,270.37,4.53,38.04,2.68,10.97,5.46,6.48,0.56
1606950000,1,257.02,2.24,37.01,6.17,9.66,4.69,5.83,0.51
1606953600,1,240.33,0.34,31.87,17.35,7.57,3.69,5.29,0.36
1606957200,1,233.65,0.06,25.71,28.61,6.2,3.15,5.31,0.27
1606960800,1,226.97,0.02,20.05,35.76,5.19,2.78,5.13,0.23
1606964400,1,226.97,0.01,15.42,41.13,4.41,2.42,4.73,0.24
1606968000,1,223.64,0.01,12.85,44.35,3.87,2.24,4.24,0.26
1606971600,1,220.3,0.01,12.0,47.21,4.17,2.06,3.62,0.23
1606975200,1,220.3,0.01,14.22,49.35,5.48,2.3,3.45,0.19
1606978800,1,220.3,0.01,19.19,50.78,6.62,2.4,3.14,0.23
1606982400,1,216.96,0.01,20.74,54.36,6.38,2.0,2.46,0.25
1606986000,1,211.95,0.02,18.51,58.65,5.96,1.68,2.03,0.22
1606989600,1,205.28,0.06,14.05,65.09,5.01,1.51,1.77,0.15
1606993200,1,203.61,0.1,12.0,67.95,4.47,1.27,1.49,0.12
1606996800,1,201.94,0.12,10.97,68.67,3.99,1.02,1.22,0.11
1607000400,1,200.27,0.12,11.14,67.23,3.82,0.96,1.15,0.11
1607004000,1,201.94,0.11,12.34,65.8,4.17,1.01,1.21,0.12
1607007600,1,203.61,0.06,13.37,65.09,4.41,1.03,1.25,0.13
1607011200,1,210.29,0.02,18.85,55.79,5.48,1.35,1.62,0.19
1607014800,1,220.3,0.04,26.39,42.56,6.44,1.8,2.15,0.26
1607018400,1,226.97,0.15,33.24,31.11,7.39,2.26,2.7,0.33
1607022000,2,267.03,5.03,50.72,9.03,10.97,4.52,5.27,0.58
1607025600,2,347.14,32.19,56.89,0.04,16.93,9.77,11.04,0.93
1607029200,2,440.6,67.06,58.26,0.0,23.13,16.8,18.58,1.28
1607032800,4,560.76,103.71,65.12,0.0,30.28,25.38,27.4,1.5
1607036400,4,607.49,116.23,73.34,0.0,30.04,29.25,30.92,1.09
1607040000,3,494.0,70.63,76.08,0.0,22.89,20.08,21.11,0.52
1607043600,2,263.69,1.93,46.61,16.63,11.21,4.35,4.75,0.2
1607047200,1,226.97,0.02,22.96,36.12,7.21,2.21,2.48,0.16
1607050800,1,223.64,0.01,16.28,39.34,6.32,2.99,3.23,0.15
1607054400,1,233.65,0.02,17.99,36.12,6.44,5.25,5.46,0.1
1607058000,1,233.65,0.02,18.17,35.41,6.08,6.37,6.59,0.1
1607061600,1,243.66,0.08,25.36,24.32,6.56,7.74,7.98,0.09
1607065200,2,270.37,1.23,45.24,7.15,8.7,9.4,9.74,0.14
1607068800,2,267.03,2.1,42.84,5.01,8.82,8.56,8.94,0.22
1607072400,1,247.0,0.71,29.13,14.31,6.74,6.08,6.38,0.29
1607076000,1,230.31,0.29,20.56,26.82,5.6,3.22,3.46,0.33
1607079600,1,220.3,0.33,17.14,34.69,5.25,1.56,1.77,0.32
1607083200,1,216.96,0.41,15.94,39.34,5.07,0.98,1.17,0.3
1607086800,1,216.96,0.45,15.42,42.92,4.53,0.89,1.1,0.28
1607090400,1,216.96,0.37,16.11,46.49,4.47,0.9,1.13,0.3
1607094000,1,216.96,0.19,16.62,49.35,4.47,0.91,1.16,0.32
1607097600,1,216.96,0.04,18.85,48.64,4.83,1.02,1.32,0.35
1607101200,1,220.3,0.03,22.96,43.27,5.07,1.24,1.63,0.38
1607104800,1,223.64,0.06,26.05,38.62,5.31,1.49,2.01,0.42
1607108400,1,230.31,0.08,27.76,36.12,6.14,1.85,2.55,0.45
1607112000,1,230.31,0.09,27.42,35.41,6.8,2.22,3.09,0.42
1607115600,1,226.97,0.06,26.05,36.84,6.8,2.34,3.29,0.38
1607119200,1,230.31,0.1,29.82,34.33,7.09,2.69,3.7,0.39
1607122800,1,240.33,0.13,33.24,30.76,6.91,2.89,3.94,0.38
1607126400,1,233.65,0.05,28.79,35.76,5.48,2.47,3.48,0.28
1607130000,1,226.97,0.01,21.59,43.63,4.41,1.97,2.87,0.2
1607133600,1,220.3,0.0,15.94,50.07,3.99,1.52,2.26,0.17
1607137200,1,213.62,0.0,11.48,56.51,3.87,1.0,1.53,0.2
1607140800,1,208.62,0.0,8.23,60.08,3.58,0.61,0.98,0.24
1607144400,1,208.62,0.0,7.54,59.37,3.55,0.6,0.96,0.23
1607148000,1,208.62,0.0,7.63,60.08,3.7,0.65,1.08,0.19
1607151600,1,211.95,0.0,9.94,58.65,4.35,0.85,1.41,0.23
1607155200,1,220.3,0.01,13.88,52.21,5.01,1.18,2.01,0.31
1607158800,1,223.64,0.04,15.77,49.35,5.6,1.43,2.59,0.36
1607162400,1,223.64,0.28,15.25,47.92,6.02,1.54,2.96,0.38
1607166000,1,216.96,0.78,12.34,49.35,5.78,1.39,2.79,0.41
1607169600,1,216.96,1.09,9.68,51.5,5.07,1.25,2.46,0.44
1607173200,1,220.3,0.94,8.65,52.93,4.23,1.29,2.3,0.5
1607176800,1,226.97,0.71,11.14,44.7,5.01,1.63,2.61,0.57
1607180400,1,230.31,0.27,14.91,38.27,6.2,2.32,3.2,0.55
1607184000,1,240.33,0.11,22.96,31.11,8.7,3.31,4.23,0.52
1607187600,1,257.02,0.25,32.56,23.25,10.49,4.24,5.3,0.51
1607191200,2,277.04,0.55,40.44,17.35,11.09,5.32,6.53,0.5
1607194800,2,297.07,1.01,46.61,12.7,12.16,6.72,8.06,0.54
1607198400,2,310.42,1.55,52.09,9.12,13.71,7.73,9.07,0.58
1607202000,2,313.76,1.66,54.15,7.87,14.31,7.93,9.18,0.56
1607205600,2,307.08,1.45,52.78,8.67,13.83,7.4,8.54,0.53
1607209200,2,293.73,0.83,47.98,11.98,12.16,6.35,7.39,0.47
1607212800,1,273.71,0.2,36.67,20.21,9.42,4.78,5.69,0.34
1607216400,1,257.02,0.07,26.39,27.54,7.57,3.63,4.41,0.25
1607220000,1,250.34,0.04,21.59,30.4,7.15,3.32,3.99,0.23
1607223600,1,247.0,0.04,19.71,30.76,7.21,3.65,4.27,0.23
1607227200,1,247.0,0.04,17.99,31.11,7.21,4.26,4.82,0.21
1607230800,1,250.34,0.04,17.14,31.83,7.51,4.75,5.23,0.21
1607234400,1,250.34,0.05,17.82,31.83,8.23,5.2,5.62,0.21
1607238000,1,267.03,0.21,25.02,25.03,10.49,6.58,6.99,0.29
1607241600,1,297.07,1.51,39.41,10.91,13.35,9.1,9.55,0.42
1607245200,2,327.11,6.48,47.98,2.46,15.5,11.57,12.11,0.52
1607248800,2,347.14,14.08,44.55,4.07,17.17,13.07,13.76,0.58
1607252400,2,343.8,16.32,39.41,6.97,18.36,13.21,14.06,0.56
1607256000,2,327.11,13.41,36.33,10.73,19.07,12.63,13.56,0.5
1607259600,2,310.42,9.5,35.3,13.05,19.07,12.09,13.06,0.44
1607263200,2,307.08,7.71,38.04,9.84,19.79,12.25,13.29,0.44
1607266800,2,300.41,5.03,41.81,5.9,19.79,12.0,13.12,0.44
1607270400,2,300.41,3.74,45.24,2.77,19.55,12.2,13.4,0.44
1607274000,2,310.42,7.94,47.3,0.43,20.03,13.43,14.84,0.45
1607277600,2,317.1,12.85,46.61,0.09,19.07,14.23,15.73,0.45
1607281200,2,333.79,18.77,43.87,0.01,18.12,15.17,16.65,0.5
1607284800,2,357.15,24.81,42.84,0.0,18.12,16.54,18.04,0.58
1607288400,2,370.5,27.72,42.84,0.0,17.88,17.62,19.05,0.62
1607292000,2,373.84,27.94,43.53,0.0,17.64,18.19,19.52,0.61
1607295600,2,367.17,24.14,44.55,0.01,16.93,17.79,19.08,0.51
1607299200,2,340.46,16.32,45.24,0.04,14.66,16.56,17.77,0.3
1607302800,2,317.1,9.5,44.55,0.19,13.95,15.44,16.59,0.11
1607306400,2,303.75,6.15,42.84,0.44,14.54,14.57,15.61,0.04
1607310000,2,300.41,4.58,40.44,0.81,15.5,14.08,14.96,0.01
1607313600,2,293.73,3.41,39.76,1.5,16.45,13.65,14.4,0.01
1607317200,2,297.07,3.63,40.44,1.45,17.88,13.74,14.46,0.02
1607320800,2,303.75,5.42,42.5,0.84,20.27,14.4,15.14,0.05
1607324400,2,333.79,13.97,46.61,0.13,25.27,16.64,17.46,0.27
1607328000,2,373.84,27.05,52.78,0.01,30.28,19.57,20.46,0.5
1607331600,3,403.88,37.1,59.63,0.01,32.9,21.83,22.76,0.6
1607335200,3,413.9,39.79,62.38,0.31,32.9,22.51,23.5,0.61
1607338800,3,403.88,38.89,60.32,1.48,33.38,22.2,23.37,0.59
1607342400,3,383.85,36.21,54.84,3.0,34.81,21.22,22.55,0.52
1607346000,3,370.5,34.42,52.09,4.2,36.72,21.44,22.88,0.34
1607349600,3,373.84,35.76,52.78,3.44,37.67,21.93,23.54,0.37
1607353200,3,373.84,35.32,54.84,1.74,37.19,22.0,23.74,0.41
1607356800,3,390.53,41.57,58.95,0.15,32.9,22.79,24.7,0.59
1607360400,4,433.92,61.69,60.32,0.0,27.66,25.48,27.59,0.81
1607364000,4,480.65,85.83,58.26,0.0,25.03,28.55,30.76,0.96
1607367600,4,527.38,109.97,56.21,0.0,25.75,32.15,34.16,1.03
1607371200,4,560.76,121.59,54.15,0.0,27.18,34.67,36.47,0.99
1607374800,4,540.73,110.87,51.41,0.0,27.18,34.07,35.71,0.85
1607378400,4,473.98,78.68,48.67,0.0,26.46,29.88,31.32,0.67
1607382000,4,440.6,60.8,48.67,0.0,25.27,27.72,29.08,0.6
1607385600,3,393.87,39.79,49.35,0.0,23.6,24.01,25.29,0.38
1607389200,3,357.15,25.71,48.67,0.0,21.46,21.0,22.22,0.25
1607392800,2,350.48,23.02,48.67,0.0,19.79,19.97,21.23,0.27
1607396400,2,347.14,22.35,47.98,0.0,20.03,19.59,20.88,0.28
1607400000,2,350.48,23.69,48.67,0.0,21.7,19.9,21.23,0.27
1607403600,3,357.15,25.48,50.04,0.0,23.6,20.03,21.44,0.26
1607407200,2,353.81,23.25,50.04,0.0,23.13,18.95,20.32,0.25
1607410800,2,343.8,20.34,45.24,0.03,22.65,16.41,17.55,0.38
1607414400,2,350.48,24.36,43.53,0.02,23.37,14.72,15.7,0.6
1607418000,2,363.83,29.5,44.55,0.2,24.56,14.09,15.06,0.77
1607421600,2,367.17,32.63,44.55,2.33,25.27,14.02,15.07,0.81
1607425200,2,360.49,32.63,42.5,5.54,24.56,13.63,14.77,0.68
1607428800,2,347.14,27.94,39.41,9.21,23.37,12.92,14.03,0.46
1607432400,2,303.75,14.31,37.36,16.45,17.41,11.78,12.65,0.1
1607436000,2,297.07,9.16,35.3,14.31,13.59,11.54,12.29,0.09
1607439600,2,297.07,4.97,36.33,9.84,12.16,11.05,11.77,0.15
1607443200,2,300.41,3.74,39.07,4.02,11.44,10.46,11.23,0.3
1607446800,2,313.76,7.38,40.1,0.89,10.85,10.45,11.33,0.45
1607450400,2,320.44,10.28,39.76,0.37,10.13,10.32,11.27,0.54
1607454000,1,323.77,11.18,39.07,0.34,9.89,9.83,10.78,0.59
1607457600,1,320.44,9.16,37.7,0.63,9.06,8.52,9.52,0.55
1607461200,1,310.42,5.76,35.99,1.74,7.75,7.2,8.23,0.46
1607464800,1,300.41,3.16,34.62,4.16,6.91,6.48,7.45,0.41
1607468400,1,290.39,1.45,32.56,7.69,6.14,5.84,6.73,0.34
1607472000,1,273.71,0.35,27.42,14.66,4.83,4.35,5.05,0.25
1607475600,1,257.02,0.06,19.19,26.46,4.23,2.49,2.92,0.24
1607479200,1,243.66,0.02,14.91,36.48,4.23,1.6,1.93,0.21
1607482800,1,236.99,0.01,12.68,45.78,4.35,1.45,1.82,0.18
1607486400,1,226.97,0.0,10.8,52.21,4.47,1.42,1.94,0.2
1607490000,1,223.64,0.0,9.68,56.51,4.65,1.45,2.14,0.22
1607493600,1,220.3,0.0,9.94,58.65,5.07,1.54,2.38,0.24
1607497200,1,230.31,0.01,15.08,55.08,6.5,1.98,3.08,0.34
1607500800,1,236.99,0.02,22.28,48.64,7.75,2.52,4.16,0.46
1607504400,1,243.66,0.07,27.08,43.63,8.46,2.85,5.19,0.51
1607508000,1,243.66,0.48,27.76,42.92,8.94,2.97,6.02,0.53
1607511600,1,240.33,1.05,26.05,45.06,9.42,2.92,6.34,0.52
1607515200,1,236.99,1.37,23.99,47.92,9.42,2.77,6.32,0.48
1607518800,1,233.65,1.47,22.62,50.07,8.7,2.6,6.13,0.45
1607522400,1,240.33,1.36,27.42,43.99,9.3,2.9,6.43,0.45
1607526000,1,243.66,0.73,31.53,38.27,9.3,3.14,6.69,0.46
1607529600,1,250.34,0.24,36.67,30.04,8.94,3.5,7.06,0.48
1607533200,2,257.02,0.57,42.5,19.13,8.23,3.88,7.43,0.52
1607536800,2,260.35,1.62,46.61,10.82,7.99,4.26,7.81,0.54
1607540400,2,270.37,2.54,49.35,7.24,9.78,5.46,9.04,0.52
1607544000,2,273.71,1.3,49.35,12.16,11.68,6.56,10.11,0.43
1607547600,1,260.35,0.18,39.07,28.97,10.73,5.55,8.84,0.36
