Timestamp,CO,NO,NO2,PM2_5,PM10
2020-11-30,325.9323076923077,16.986953099607625,38.98300699300699,18.997202797202796,20.77195804195804
2020-12-31,253.5970564516129,9.027107213884209,24.539287634408602,5.631720430107527,6.816102150537635
2021-01-31,275.81433333333337,8.54961586274823,26.318152777777776,5.703416666666667,6.6149305555555555
2021-02-28,270.65779761904764,11.590278039222397,23.55764880952381,7.763392857142857,9.406190476190476
2021-03-31,277.9984677419355,12.376493633570506,25.949704301075272,11.463682795698924,13.55483870967742
2021-04-30,266.3498333333333,10.35614039290848,26.77188888888889,8.561708333333334,10.203486111111111
2021-05-31,208.57198924731182,3.5355898822373697,13.764798387096775,3.779381720430108,4.904637096774194
2021-06-30,184.86894444444445,4.0080383147881955,14.389222222222221,5.928861111111111,7.307555555555555
2021-07-31,187.7437365591398,4.225585597305731,13.628575268817205,6.945846774193549,8.48912634408602
2021-08-31,253.51629032258063,3.2959794954428596,11.134932795698925,4.40622311827957,6.484610215053764
2021-09-30,304.2885694444444,9.997659816500736,20.142125,8.724,11.168916666666666
2021-10-31,290.15223118279573,7.595705978982368,17.02048387096774,5.2962096774193546,6.965268817204301
2021-11-30,310.71795833333334,17.199138857832438,25.307972222222226,6.717930555555555,8.589097222222222
2021-12-31,290.49501344086025,11.472633549898415,21.058077956989248,5.773897849462365,7.215120967741936
2022-01-31,333.1232083333333,20.36993752107402,30.392861111111113,10.453472222222222,12.445986111111113
2022-02-28,263.5108024691358,5.707512346171972,13.26219135802469,3.38375,4.868688271604938
2022-03-31,311.93701612903226,9.89311783519071,24.111303763440862,13.781895161290322,15.564583333333333
2022-04-30,260.76565277777775,5.965816593905838,19.183402777777776,8.116902777777778,9.639930555555555
2022-05-31,217.434126344086,4.668120634564886,14.134516129032258,5.093763440860215,7.100376344086022
2022-06-30,184.1945972222222,3.9087971703135813,12.499319444444446,5.702277777777779,8.159333333333334
2022-07-31,171.67971264367816,3.2352378687073964,10.767227011494253,4.5007471264367815,6.407514367816092
2022-08-31,192.07056451612902,5.302754345899603,15.71758064516129,6.531787634408602,8.970161290322581
2022-09-30,211.07306944444446,10.212258573799003,19.92959722222222,6.280486111111111,7.842125
2022-10-31,215.08646739130435,12.22662806504031,18.277028985507247,6.096757246376812,8.760434782608696
